label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,1t_Fo_Ratio
2,2842,1648,131911,1,14,1,1,2,1,1,1.579873329,46.41197818
2,3211,7,79448,1,7,2,1,1,1,1,1.112181116,24.74244784
2,3211,7,79448,1,14,4,1,2,1,1,1.112181116,24.74244784
2,134991,438,31596,1,11,9,1,1,1,1,1.113244685,1.234161782
2,61119,485,299677,1,1,1,1,1,1,1,1.117948344,4.911217984
1,4512,116,56133,1,1,1,1,1,1,1,1.12571922,12.41866135
1,4111899,469,173277,1,9,7,1,1,1,1,1.111116912,1.143191768
1,2178146,111,76735,1,11,11,1,1,1,1,4.81E-15,1.13692474
1,61119,485,299677,1,1,1,2,1,1,1,1.117948344,4.911217984
1,8751,2352,164226,1,1,1,3,1,1,1,1.268769284,18.76654197
1,516371,16,66216,1,3,1,2,1,1,1,3.11E-15,1.128233631
2,115854,329,78181,1,1,1,1,1,1,1,1.112839781,1.673961329
1,3537,61,1744,1,1,1,1,1,1,1,1.116963528,1.493173226
1,3537,61,1744,1,1,1,1,1,1,1,1.116963528,1.493173226
2,14761,475,26996,1,7,1,1,1,1,1,1.132181572,1.82899729
1,21791,811,17274,1,9,3,1,1,1,1,1.138528139,1.831881231
1,2979,676,245381,1,3,1,1,1,1,1,1.226921786,82.36992279
1,227952,31,75397,1,3,1,1,1,1,1,1.111135994,1.33175823
1,1371986,151,111883,1,3,5,1,1,1,1,1.111111159,1.174259514
1,2626,379,48663,1,21,1,1,1,1,1,1.144325971,18.5312262
1,2178146,111,76735,1,21,11,1,1,1,1,4.81E-15,1.13692474
2,21841,711,121591,1,2,1,1,1,1,1,1.1321956,5.567152791
1,616696,9,61943,1,2,5,1,1,1,1,1.46E-15,1.198821786
2,1497295,68,91119,1,3,6,1,1,1,1,4.54E-15,1.161782277
1,134145,312,6175,2,9,1,1,1,1,1,1.112251295,1.146132279
1,12911,2173,31831,1,11,3,1,1,1,1,1.161561762,2.465339633
1,6282,2365,36498,1,22,3,1,1,1,1,1.376472461,5.819933142
1,3211,7,79448,1,7,2,1,1,1,1,1.112181116,24.74244784
2,3537,61,1744,1,1,1,1,1,1,1,1.116963528,1.493173226
2,134991,438,31596,1,11,9,1,1,1,1,1.113244685,1.234161782
2,61119,485,299677,1,1,1,1,1,1,1,1.117948344,4.911217984
1,4512,116,56133,1,1,1,1,1,1,1,1.12571922,12.41866135
1,4111899,469,173277,1,9,7,1,1,1,1,1.111116912,1.143191768
1,8751,2352,164226,1,1,1,3,1,1,1,1.268769284,18.76654197
2,115854,329,78181,1,1,1,1,1,1,1,1.112839781,1.673961329
1,3537,61,1744,1,1,1,1,1,1,1,1.116963528,1.493173226
1,3537,61,1744,1,1,1,1,1,1,1,1.116963528,1.493173226
2,21841,711,121591,1,1,1,1,1,1,1,1.1321956,5.567152791
1,2979,676,245381,1,3,1,1,1,1,1,1.226921786,82.36992279
1,227952,31,75397,1,3,1,1,1,1,1,1.111135994,1.33175823
1,3111,141,3778,1,1,1,1,1,1,1,1.145337621,1.214791997
1,2178146,111,76735,1,21,11,1,1,1,1,4.81E-15,1.13692474
1,8751,2352,164226,1,45,1,1,1,1,1,1.268769284,18.76654197
2,21841,711,121591,1,2,1,1,1,1,1,1.1321956,5.567152791
1,14984,294,25374,1,338,1,1,1,1,1,1.119621929,1.6934163
2,16671,233,18241,1,168,1,1,1,1,1,1.113977215,1.194181164
1,4916,851,45886,1,146,1,2,1,1,1,1.173118218,9.334111391
2,5814,951,111236,1,46,1,1,1,1,1,1.163398693,19.13243894
2,9515,9291,114111,1,124,1,1,1,1,1,1.976353127,11.93126642
2,8716,814,31321,1,124,1,1,1,1,1,1.192351113,3.482771513
2,2864,1668,12834,1,124,1,1,1,1,1,1.582412235,4.481145251
1,9911,3419,136411,1,142,1,1,1,1,1,1.345115145,13.76488396
1,6769,929,259837,2,5,1,1,1,1,1,1.137243315,38.38631999
2,5631,3818,11179,1,6,1,1,1,1,1,1.676376554,1.817992895
2,2917,961,52971,1,6,1,1,1,1,1,1.331237358,18.22153423
2,23327,437,11429,1,34,12,1,1,1,1,1.118733656,1.489947271
2,12111,273,6285,1,338,1,1,1,1,1,1.122561983,1.519421488
2,115854,329,78181,1,1,1,1,1,1,1,1.112839781,1.673961329
2,2758,1989,49776,2,1,1,1,1,1,1,1.721174764,18.14786177
2,8286,518,19119,1,1,1,1,1,1,1,1.161318231,2.294111548
2,4498,699,34173,1,8,1,1,1,1,1,1.155412411,7.575144519
1,11241,1226,61135,1,25,1,1,1,1,1,1.119174733,5.431161142
1,77912,416,181761,1,8,1,1,1,1,1,1.115211676,2.333211688
1,77912,416,181761,1,8,1,1,1,1,1,1.115211676,2.333211688
1,119595,337,42121,1,81,43,1,1,1,1,1.112817844,1.352196998
1,7396,1195,6283,1,19,1,2,1,1,1,1.161573824,1.84951325
2,21841,711,121591,1,1,1,1,1,1,1,1.1321956,5.567152791
1,21841,711,121591,1,1,1,1,1,1,1,1.1321956,5.567152791
1,8751,2352,164226,1,45,1,1,1,1,1,1.268769284,18.76654197
1,8751,2352,164226,1,2,1,1,1,1,1,1.268769284,18.76654197
2,1711,1573,6269,1,2,1,1,1,1,1,1.919345412,3.663939217
